SOURCE,PATHWAY,link
BioCarta,BIOCARTA_CTL_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CTL_PATHWAY.html
BioCarta,BIOCARTA_CXCR4_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CXCR4_PATHWAY.html
BioCarta,BIOCARTA_CYTOKINE_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CYTOKINE_PATHWAY.html
BioCarta,BIOCARTA_D4GDI_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_D4GDI_PATHWAY.html
BioCarta,BIOCARTA_DC_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_DC_PATHWAY.html
BioCarta,BIOCARTA_DEATH_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_DEATH_PATHWAY.html
BioCarta,BIOCARTA_DICER_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_DICER_PATHWAY.html
BioCarta,BIOCARTA_DNAFRAGMENT_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_DNAFRAGMENT_PATHWAY.html
BioCarta,BIOCARTA_DREAM_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_DREAM_PATHWAY.html
BioCarta,BIOCARTA_DSP_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_DSP_PATHWAY.html
BioCarta,BIOCARTA_ECM_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_ECM_PATHWAY.html
BioCarta,BIOCARTA_EDG1_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_EDG1_PATHWAY.html
BioCarta,BIOCARTA_EEA1_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_EEA1_PATHWAY.html
BioCarta,BIOCARTA_EFP_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_EFP_PATHWAY.html
BioCarta,BIOCARTA_EGFR_SMRTE_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_EGFR_SMRTE_PATHWAY.html
BioCarta,BIOCARTA_EGF_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_EGF_PATHWAY.html
BioCarta,BIOCARTA_EICOSANOID_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_EICOSANOID_PATHWAY.html
BioCarta,BIOCARTA_EIF2_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_EIF2_PATHWAY.html
BioCarta,BIOCARTA_EIF4_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_EIF4_PATHWAY.html
BioCarta,BIOCARTA_EIF_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_EIF_PATHWAY.html
BioCarta,BIOCARTA_EOSINOPHILS_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_EOSINOPHILS_PATHWAY.html
BioCarta,BIOCARTA_EPHA4_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_EPHA4_PATHWAY.html
BioCarta,BIOCARTA_EPONFKB_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_EPONFKB_PATHWAY.html
BioCarta,BIOCARTA_EPO_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_EPO_PATHWAY.html
BioCarta,BIOCARTA_ERAD_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_ERAD_PATHWAY.html
BioCarta,BIOCARTA_ERBB3_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_ERBB3_PATHWAY.html
BioCarta,BIOCARTA_ERBB4_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_ERBB4_PATHWAY.html
